30-31,2-31
6-92,4-5
35-39,42-44
35-95,35-95
12-98,99-99
10-15,16-94
37-85,84-84
2-23,31-56
52-68,51-69
47-62,25-52
9-62,61-61
78-99,77-99
92-94,11-93
77-83,62-76
3-7,29-59
12-96,96-97
48-48,12-47
72-86,71-86
6-90,90-95
5-92,2-4
11-63,1-64
72-72,72-82
65-68,68-69
3-99,5-99
5-80,5-5
40-93,41-93
27-31,25-58
6-93,93-93
25-75,75-76
31-78,79-79
16-60,33-86
38-65,39-97
46-52,45-88
13-64,12-80
53-53,35-52
32-38,12-30
43-49,42-96
4-23,24-77
32-63,27-64
46-72,23-73
78-89,56-88
42-78,79-79
2-87,2-88
51-57,57-58
56-63,55-63
2-12,21-62
5-7,6-41
57-86,87-92
17-18,17-42
11-84,7-10
13-75,4-75
15-76,14-14
96-96,2-97
68-94,43-95
57-66,67-85
5-52,20-88
25-62,25-62
3-82,81-83
88-89,85-88
31-49,30-68
58-60,59-61
16-33,15-16
13-97,13-66
4-87,10-86
6-6,7-99
33-35,34-98
48-88,82-89
31-73,30-74
1-95,2-95
11-87,10-86
60-61,21-60
51-91,51-52
15-37,16-38
5-10,10-32
23-25,24-34
21-40,21-40
12-52,13-31
10-10,10-94
41-82,4-82
5-48,6-34
73-81,42-72
62-77,76-82
41-82,56-83
19-52,18-39
19-92,54-93
2-39,2-40
95-96,3-95
7-70,6-92
7-89,6-58
67-88,68-80
14-74,73-86
41-41,33-40
2-91,8-90
69-81,11-80
8-90,9-98
62-87,86-86
7-70,39-69
4-9,3-12
4-96,11-95
1-21,3-22
18-24,92-99
34-87,7-90
96-99,82-88
6-50,6-34
13-53,12-54
2-98,3-95
8-11,17-91
26-92,3-56
36-61,46-84
86-86,22-85
20-76,76-76
21-80,21-30
34-78,55-90
12-96,11-95
43-43,15-44
54-88,53-89
37-37,50-66
23-95,7-11
7-58,21-59
3-5,4-68
5-75,8-76
42-68,42-67
36-36,36-47
9-69,9-92
30-56,36-80
12-85,13-84
11-64,65-87
41-60,60-61
2-30,31-41
23-60,9-35
87-89,15-88
4-97,96-98
9-92,9-91
40-66,66-66
39-95,69-96
48-87,23-47
5-96,6-95
18-66,19-65
5-38,39-61
12-92,93-93
9-97,10-97
16-51,50-67
3-14,14-28
7-7,8-88
6-45,5-36
58-58,40-58
8-56,7-56
5-15,6-14
97-97,7-96
26-70,27-94
20-21,20-91
3-16,3-13
9-10,9-92
16-81,67-94
72-88,6-73
4-88,3-68
25-53,24-54
63-75,63-74
31-31,31-56
1-84,1-83
41-89,40-67
4-53,5-54
13-83,13-14
11-87,11-86
4-63,4-63
9-96,8-97
2-74,1-88
40-83,39-83
46-71,45-75
4-74,74-75
99-99,72-98
33-51,52-82
22-69,22-23
35-36,36-91
8-97,97-98
18-20,19-94
6-16,7-17
35-36,36-97
4-78,79-79
14-69,4-14
50-64,19-51
10-31,15-17
52-74,74-74
42-91,90-91
35-69,10-70
1-3,4-4
37-66,67-67
6-92,73-74
21-96,21-97
6-37,6-68
25-78,79-92
78-88,65-75
14-99,8-8
39-66,54-67
33-80,79-91
15-83,84-84
51-51,10-50
72-80,72-81
4-92,2-24
33-93,92-94
4-10,4-68
8-94,7-96
1-39,38-69
6-36,36-37
86-86,31-85
77-94,76-96
8-75,17-76
7-93,7-45
8-61,40-70
17-29,32-94
26-26,12-25
14-94,10-12
29-42,32-39
2-91,2-3
12-85,28-86
57-70,71-90
9-16,17-87
17-55,18-55
18-98,19-19
88-88,22-87
5-93,4-92
75-76,76-84
5-6,6-41
42-94,36-41
52-66,1-62
5-82,4-4
1-87,3-88
47-58,56-61
7-57,7-97
39-93,33-93
31-48,20-32
18-81,19-82
16-77,17-78
2-2,4-43
22-23,23-93
10-11,15-68
89-95,15-88
19-69,18-18
85-98,34-84
47-73,29-52
56-56,23-55
2-97,2-94
34-64,17-63
46-46,47-75
15-90,91-91
63-63,35-62
46-56,52-89
82-90,82-90
17-23,5-7
7-79,8-79
40-76,39-71
81-82,11-99
31-41,37-44
97-98,1-98
13-92,11-16
63-63,3-62
10-23,27-46
18-99,19-80
43-65,55-56
14-14,14-20
14-75,15-74
24-75,12-45
32-32,33-83
4-92,2-3
35-50,34-72
11-90,91-91
62-84,78-97
64-64,24-65
13-93,12-94
70-89,58-88
35-44,36-43
57-90,91-91
19-20,20-96
33-96,26-87
9-61,10-62
2-81,1-3
69-98,69-98
60-66,64-97
8-8,4-7
33-76,32-77
35-96,34-86
87-92,66-86
5-39,8-67
27-78,79-80
5-98,1-1
6-79,5-95
65-87,88-88
50-98,49-49
55-58,54-60
